Provincia,Mes,Anio,Temperatura,Precipitacion,Humedad,Vel_vientos,cantidad_casos
CORRIENTES,7,2019,13.631182795698914,80.20000000000012,77.43817204301075,12.126344086021506,0
CORRIENTES,8,2018,13.57849462365592,45.46666666666664,74.06720430107526,14.661290322580646,0
CORRIENTES,8,2019,15.04543010752689,53.06666666666658,72.39516129032258,15.314516129032258,0
CORRIENTES,9,2018,20.045833333333334,98.29999999999947,77.28055555555555,15.302777777777777,0
CORRIENTES,9,2019,17.665555555555553,30.733333333333636,65.05,15.313888888888888,0
CORRIENTES,10,2018,20.9747311827957,89.26666666666631,71.01612903225806,15.661290322580646,0
CORRIENTES,10,2019,21.263978494623654,164.46666666666647,73.30913978494624,16.658602150537636,0
CORRIENTES,11,2018,23.76916666666667,230.39999999999992,71.12777777777778,14.591666666666667,0
CORRIENTES,11,2019,24.350555555555577,204.99999999999835,71.43333333333334,13.794444444444444,0
CORRIENTES,12,2018,25.07311827956987,238.53333333333254,71.51075268817205,13.051075268817204,0
CORRIENTES,12,2019,24.965860215053763,109.43333333333321,64.28494623655914,12.553763440860216,0
CÓRDOBA,1,2018,23.784677419354832,86.65714285714313,63.28801843317972,10.044930875576037,0
CÓRDOBA,1,2019,23.413133640552978,195.60000000000062,76.786866359447,12.372119815668203,0
CÓRDOBA,1,2020,24.343202764976926,90.47142857142755,65.78456221198157,11.926267281105991,23
CÓRDOBA,2,2018,23.274234693877553,53.671428571427754,64.46938775510205,9.783163265306122,0
CÓRDOBA,2,2019,22.703954081632617,43.97142857142883,72.39285714285714,10.741071428571429,1
CÓRDOBA,2,2020,22.445566502463095,172.44285714285647,71.34975369458128,10.50615763546798,257
CÓRDOBA,3,2018,20.79412442396312,26.557142857142896,56.06221198156682,12.011520737327189,13
CÓRDOBA,3,2019,19.075460829493082,161.49999999999986,78.26958525345623,9.976958525345623,0
CÓRDOBA,3,2020,22.546791131855294,103.94842473745682,73.14352392065344,10.705950991831973,1856
CÓRDOBA,4,2018,20.30380952380953,61.214285714285644,75.59285714285714,10.970238095238095,4
CÓRDOBA,4,2019,17.573571428571427,74.7142857142856,75.75714285714285,9.848809523809523,1
CÓRDOBA,4,2020,17.988888888888912,35.93333333333322,67.02222222222223,11.060493827160494,1205
CÓRDOBA,5,2018,14.666205305651651,95.43241061130254,79.60322952710496,10.004613610149942,1
